lat,lon,country,iso
5.8522,-55.2039,Suriname,SUR
-8.5536,125.5783,Timor-Leste,TLS
-41.2889,174.7772,New Zealand,NZL
6.8058,-58.1508,Guyana,GUY
42.6633,21.1622,Kosovo,XKS
-18.1416,178.4419,Fiji,FJI
-22.2758,166.458,New Caledonia,NCL
42.4414,19.2628,Montenegro,MNE
12.108,-68.935,Curaçao,CUW
-20.1644,57.5042,Mauritius,MUS
64.1467,-21.94,Iceland,ISL
-3.4283,29.925,Burundi,BDI
46.9481,7.4475,Switzerland,CHE
6.4972,2.605,Benin,BEN
4.1753,73.5089,Maldives,MDV
49.6117,6.1319,Luxembourg,LUX
-17.5334,-149.5667,French Polynesia,PYF
6.9108,79.8878,Sri Lanka,LKA
27.4722,89.6361,Bhutan,BTN
13.0975,-59.6167,Barbados,BRB
-9.4319,159.9556,Solomon Islands,SLB
10.6667,-61.5167,Trinidad and Tobago,TTO
-12.7806,45.2278,Mayotte,MYT
14.0167,-60.9833,Saint Lucia,LCA
2.93,101.69,Malaysia,MYS
0.3361,6.7306,Sao Tome and Principe,STP
14.918,-23.509,Cabo Verde,CPV
4.933,-52.33,French Guiana,GUF
-26.3167,31.1333,Eswatini,SWZ
4.8903,114.9422,Brunei,BRN
-17.7333,168.3167,Vanuatu,VUT
-6.1731,35.7419,Tanzania,TZA
-13.8333,-171.75,Samoa,WSM
6.8161,-5.2742,Côte d’Ivoire,CIV
43.7333,7.4167,Monaco,MCO
12.5186,-70.0358,Aruba,ABW
36.14,-5.35,Gibraltar,GIB
49.1858,-2.11,Jersey,JEY
6.1319,1.2228,Togo,TGO
7.0833,171.3833,Marshall Islands,MHL
1.3382,173.0176,Kiribati,KIR
54.15,-4.4775,Isle of Man,IMN
19.2866,-81.3744,Cayman Islands,CYM
-4.6231,55.4525,Seychelles,SYC
-21.1333,-175.2,Tonga,TON
42.5,1.5,Andorra,AND
17.1167,-61.85,Antigua and Barbuda,ATG
49.4555,-2.5368,Guernsey,GGY
64.1814,-51.6942,Greenland,GRL
-11.699,43.256,Comoros,COM
17.2514,-88.7669,Belize,BLZ
15.3014,-61.3883,Dominica,DMA
13.1578,-61.225,Saint Vincent and the Grenadines,VCT
62,-6.7833,Faroe Islands,FRO
17.3,-62.7333,Saint Kitts and Nevis,KNA
18.4167,-64.6167,"Virgin Islands, British",VGB
-14.274,-170.7046,American Samoa,ASM
6.9172,158.1589,"Micronesia, Federated States of",FSM
-8.5167,179.2,Tuvalu,TUV
-26.4465,31.2064,Eswatini,SWZ
18.0706,-63.0847,Saint Martin,MAF
47.141,9.521,Liechtenstein,LIE
46.7778,-56.1778,Saint Pierre and Miquelon,SPM
12.05,-61.75,Grenada,GRD
43.9346,12.4473,San Marino,SMR
-21.207,-159.771,Cook Islands,COK
21.459,-71.139,Turks and Caicos Islands,TCA
18.2208,-63.0517,Anguilla,AIA
26.158,-10.567,Morocco,MAR
15.2137,145.7546,Northern Mariana Islands,MNP
17.8979,-62.8506,Saint Barthelemy,BLM
-51.7,-57.85,Falkland Islands (Islas Malvinas),FLK
18.0237,-63.0458,Sint Maarten,SXM
78.22,15.65,Svalbard,XSV
-10.4261,105.6728,Christmas Island,CXR
13.4745,144.7504,Guam,GUM
-13.2833,-176.1833,Wallis and Futuna,WLF
32.293,-64.782,Bermuda,BMU
41.904,12.453,Vatican City,VAT
-0.5477,166.9209,Nauru,NRU
-15.9251,-5.7179,"Saint Helena, Ascension, and Tristan da Cunha",SHN
-19.056,-169.921,Niue,NIU
16.7928,-62.2106,Montserrat,MSR
-29.0606,167.9619,Norfolk Island,NFK
16.0104,-61.7055,Guadeloupe,GLP
7.5006,134.6242,Palau,PLW
-25.0667,-130.1,Pitcairn Islands,PCN
16.7064,-62.2158,Montserrat,MSR
-54.2833,-36.5,South Georgia And South Sandwich Islands,SGS
18.342,-64.9331,U.S. Virgin Islands,VIR
