Reference area,Unit of measure,ISO,ISO.1,TIME_PERIOD,OBS_VALUE
Iran,Microgrammes per cubic metre,IRN,Iran,2002,35.171574
Iran,Microgrammes per cubic metre,IRN,Iran,2003,38.881138
Iran,Microgrammes per cubic metre,IRN,Iran,2004,35.076214
Iran,Microgrammes per cubic metre,IRN,Iran,2005,34.950001
Iran,Microgrammes per cubic metre,IRN,Iran,2006,35.523052
Iran,Microgrammes per cubic metre,IRN,Iran,2007,36.428944
Iran,Microgrammes per cubic metre,IRN,Iran,2008,41.551929
Iran,Microgrammes per cubic metre,IRN,Iran,2009,40.508606
Iran,Microgrammes per cubic metre,IRN,Iran,2010,38.240852
Iran,Microgrammes per cubic metre,IRN,Iran,2011,39.451744
Iran,Microgrammes per cubic metre,IRN,Iran,2012,38.037647
Iran,Microgrammes per cubic metre,IRN,Iran,2013,38.83263
Iran,Microgrammes per cubic metre,IRN,Iran,2014,36.551975
Iran,Microgrammes per cubic metre,IRN,Iran,2015,38.89143
Iran,Microgrammes per cubic metre,IRN,Iran,2016,37.445244
Iran,Microgrammes per cubic metre,IRN,Iran,2017,35.277802
Iran,Microgrammes per cubic metre,IRN,Iran,2018,37.98859
Iran,Microgrammes per cubic metre,IRN,Iran,2019,34.143501
Iran,Microgrammes per cubic metre,IRN,Iran,2020,32.351597
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2000,25.137993
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2001,25.148901
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2002,24.20133
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2003,24.612207
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2004,24.576815
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2005,25.378426
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2006,24.954874
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2007,25.370321
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2008,25.586357
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2009,24.6353
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2010,21.588072
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2011,18.903774
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2012,20.416626
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2013,21.478802
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2014,19.374619
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2015,17.515665
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2016,19.099695
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2017,17.927406
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2018,20.502226
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2019,19.394014
Sri Lanka,Microgrammes per cubic metre,LKA,Sri Lanka,2020,19.543354
Armenia,Microgrammes per cubic metre,ARM,Armenia,2000,25.781879
Armenia,Microgrammes per cubic metre,ARM,Armenia,2001,26.609961
Armenia,Microgrammes per cubic metre,ARM,Armenia,2002,26.44622
Armenia,Microgrammes per cubic metre,ARM,Armenia,2003,27.0993
Armenia,Microgrammes per cubic metre,ARM,Armenia,2004,26.4555
Armenia,Microgrammes per cubic metre,ARM,Armenia,2005,26.83238
Armenia,Microgrammes per cubic metre,ARM,Armenia,2006,26.502844
Armenia,Microgrammes per cubic metre,ARM,Armenia,2007,27.212481
Armenia,Microgrammes per cubic metre,ARM,Armenia,2008,28.55654
Armenia,Microgrammes per cubic metre,ARM,Armenia,2009,31.045424
Armenia,Microgrammes per cubic metre,ARM,Armenia,2010,33.570553
Armenia,Microgrammes per cubic metre,ARM,Armenia,2011,40.591942
Armenia,Microgrammes per cubic metre,ARM,Armenia,2012,41.779289
Armenia,Microgrammes per cubic metre,ARM,Armenia,2013,39.738258
Armenia,Microgrammes per cubic metre,ARM,Armenia,2014,37.631126
Armenia,Microgrammes per cubic metre,ARM,Armenia,2015,37.167866
Armenia,Microgrammes per cubic metre,ARM,Armenia,2016,34.938599
Armenia,Microgrammes per cubic metre,ARM,Armenia,2017,33.169746
Armenia,Microgrammes per cubic metre,ARM,Armenia,2018,33.253998
Armenia,Microgrammes per cubic metre,ARM,Armenia,2019,31.581354
Armenia,Microgrammes per cubic metre,ARM,Armenia,2020,29.393131
Thailand,Microgrammes per cubic metre,THA,Thailand,2000,38.366325
Thailand,Microgrammes per cubic metre,THA,Thailand,2001,37.512039
Thailand,Microgrammes per cubic metre,THA,Thailand,2002,38.918453
Thailand,Microgrammes per cubic metre,THA,Thailand,2003,37.240795
Thailand,Microgrammes per cubic metre,THA,Thailand,2004,39.506504
Thailand,Microgrammes per cubic metre,THA,Thailand,2005,38.989464
Thailand,Microgrammes per cubic metre,THA,Thailand,2006,38.568115
Thailand,Microgrammes per cubic metre,THA,Thailand,2007,40.404831
Thailand,Microgrammes per cubic metre,THA,Thailand,2008,39.141563
Thailand,Microgrammes per cubic metre,THA,Thailand,2009,37.513939
Thailand,Microgrammes per cubic metre,THA,Thailand,2010,32.746307
Thailand,Microgrammes per cubic metre,THA,Thailand,2011,28.472763
Thailand,Microgrammes per cubic metre,THA,Thailand,2012,30.950197
Thailand,Microgrammes per cubic metre,THA,Thailand,2013,33.815823
Thailand,Microgrammes per cubic metre,THA,Thailand,2014,29.433706
Thailand,Microgrammes per cubic metre,THA,Thailand,2015,27.647236
Thailand,Microgrammes per cubic metre,THA,Thailand,2016,29.84543
Thailand,Microgrammes per cubic metre,THA,Thailand,2017,26.617231
Thailand,Microgrammes per cubic metre,THA,Thailand,2018,29.456533
Thailand,Microgrammes per cubic metre,THA,Thailand,2019,29.829077
Thailand,Microgrammes per cubic metre,THA,Thailand,2020,30.456694
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2000,42.415836
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2001,43.337704
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2002,37.887932
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2003,46.861805
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2004,46.608345
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2005,41.87603
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2006,41.094906
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2007,43.881149
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2008,48.583813
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2009,43.6147
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2010,41.224716
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2011,45.081383
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2012,48.020859
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2013,42.197201
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2014,37.83791
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2015,47.138737
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2016,42.334808
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2017,43.411873
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2018,45.074379
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2019,40.794094
United Arab Emirates,Microgrammes per cubic metre,ARE,United Arab Emirates,2020,35.364826
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2000,22.729046
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2001,23.814804
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2002,24.825346
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2003,25.544874
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2004,25.440681
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2005,24.048002
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2006,26.324684
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2007,26.870527
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2008,27.806259
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2009,26.338491
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2010,28.986294
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2011,25.52672
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2012,24.385983
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2013,26.070435
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2014,25.455496
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2015,26.616882
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2016,25.335419
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2017,24.417738
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2018,25.655745
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2019,26.230108
Syrian Arab Republic,Microgrammes per cubic metre,SYR,Syrian Arab Republic,2020,24.493967
Monaco,Microgrammes per cubic metre,MCO,Monaco,2000,17.145195
Monaco,Microgrammes per cubic metre,MCO,Monaco,2001,16.129456
Monaco,Microgrammes per cubic metre,MCO,Monaco,2002,16.806303
Monaco,Microgrammes per cubic metre,MCO,Monaco,2003,18.178867
Monaco,Microgrammes per cubic metre,MCO,Monaco,2004,15.512625
Monaco,Microgrammes per cubic metre,MCO,Monaco,2005,15.962413
Monaco,Microgrammes per cubic metre,MCO,Monaco,2006,16.21175
Monaco,Microgrammes per cubic metre,MCO,Monaco,2007,15.695212
Monaco,Microgrammes per cubic metre,MCO,Monaco,2008,14.444579
Monaco,Microgrammes per cubic metre,MCO,Monaco,2009,14.637449
Monaco,Microgrammes per cubic metre,MCO,Monaco,2010,13.982408
Monaco,Microgrammes per cubic metre,MCO,Monaco,2011,15.113735
Monaco,Microgrammes per cubic metre,MCO,Monaco,2012,13.46363
Monaco,Microgrammes per cubic metre,MCO,Monaco,2013,12.591352
Monaco,Microgrammes per cubic metre,MCO,Monaco,2014,11.58141
Monaco,Microgrammes per cubic metre,MCO,Monaco,2015,12.640594
Monaco,Microgrammes per cubic metre,MCO,Monaco,2016,11.145975
Monaco,Microgrammes per cubic metre,MCO,Monaco,2017,11.191402
Monaco,Microgrammes per cubic metre,MCO,Monaco,2018,11.457806
Monaco,Microgrammes per cubic metre,MCO,Monaco,2019,10.323294
Monaco,Microgrammes per cubic metre,MCO,Monaco,2020,10.244796
Albania,Microgrammes per cubic metre,ALB,Albania,2000,21.898375
Albania,Microgrammes per cubic metre,ALB,Albania,2001,20.845171
Albania,Microgrammes per cubic metre,ALB,Albania,2002,23.198301
Albania,Microgrammes per cubic metre,ALB,Albania,2003,25.522978
Albania,Microgrammes per cubic metre,ALB,Albania,2004,22.440649
Albania,Microgrammes per cubic metre,ALB,Albania,2005,22.338451
Albania,Microgrammes per cubic metre,ALB,Albania,2006,23.187471
Albania,Microgrammes per cubic metre,ALB,Albania,2007,20.845879
Albania,Microgrammes per cubic metre,ALB,Albania,2008,20.110826
Albania,Microgrammes per cubic metre,ALB,Albania,2009,20.580732
Albania,Microgrammes per cubic metre,ALB,Albania,2010,20.472118
Albania,Microgrammes per cubic metre,ALB,Albania,2011,22.383699
Albania,Microgrammes per cubic metre,ALB,Albania,2012,20.560331
Albania,Microgrammes per cubic metre,ALB,Albania,2013,19.060055
Albania,Microgrammes per cubic metre,ALB,Albania,2014,19.051815
Albania,Microgrammes per cubic metre,ALB,Albania,2015,18.74929
Albania,Microgrammes per cubic metre,ALB,Albania,2016,17.276327
Albania,Microgrammes per cubic metre,ALB,Albania,2017,18.253368
Albania,Microgrammes per cubic metre,ALB,Albania,2018,18.711697
Albania,Microgrammes per cubic metre,ALB,Albania,2019,15.425721
Albania,Microgrammes per cubic metre,ALB,Albania,2020,15.42872
Norway,Microgrammes per cubic metre,NOR,Norway,2000,10.520889
Norway,Microgrammes per cubic metre,NOR,Norway,2001,9.1416206
Norway,Microgrammes per cubic metre,NOR,Norway,2002,9.4184275
Norway,Microgrammes per cubic metre,NOR,Norway,2003,10.202452
Norway,Microgrammes per cubic metre,NOR,Norway,2004,8.7625122
Norway,Microgrammes per cubic metre,NOR,Norway,2005,8.6460152
Norway,Microgrammes per cubic metre,NOR,Norway,2006,10.007479
Norway,Microgrammes per cubic metre,NOR,Norway,2007,8.5637484
Norway,Microgrammes per cubic metre,NOR,Norway,2008,8.2354078
Norway,Microgrammes per cubic metre,NOR,Norway,2009,8.4406824
Norway,Microgrammes per cubic metre,NOR,Norway,2010,7.8788853
Norway,Microgrammes per cubic metre,NOR,Norway,2011,8.7034407
Norway,Microgrammes per cubic metre,NOR,Norway,2012,7.340868
Norway,Microgrammes per cubic metre,NOR,Norway,2013,7.0565825
Norway,Microgrammes per cubic metre,NOR,Norway,2014,7.1072807
Norway,Microgrammes per cubic metre,NOR,Norway,2015,6.7789021
Norway,Microgrammes per cubic metre,NOR,Norway,2016,6.2507801
Norway,Microgrammes per cubic metre,NOR,Norway,2017,6.5429239
Norway,Microgrammes per cubic metre,NOR,Norway,2018,6.7058697
Norway,Microgrammes per cubic metre,NOR,Norway,2019,6.3881078
Norway,Microgrammes per cubic metre,NOR,Norway,2020,6.064858
Korea,Microgrammes per cubic metre,KOR,Korea,2000,24.557953
Korea,Microgrammes per cubic metre,KOR,Korea,2001,24.174614
Korea,Microgrammes per cubic metre,KOR,Korea,2002,24.232447
Korea,Microgrammes per cubic metre,KOR,Korea,2003,24.080061
Korea,Microgrammes per cubic metre,KOR,Korea,2004,23.706076
Korea,Microgrammes per cubic metre,KOR,Korea,2005,24.034725
Korea,Microgrammes per cubic metre,KOR,Korea,2006,24.255276
Korea,Microgrammes per cubic metre,KOR,Korea,2007,24.218794
Korea,Microgrammes per cubic metre,KOR,Korea,2008,24.296898
Korea,Microgrammes per cubic metre,KOR,Korea,2009,23.39992
Korea,Microgrammes per cubic metre,KOR,Korea,2010,21.616875
Korea,Microgrammes per cubic metre,KOR,Korea,2011,24.65514
Korea,Microgrammes per cubic metre,KOR,Korea,2012,25.2633
Korea,Microgrammes per cubic metre,KOR,Korea,2013,27.19146
Korea,Microgrammes per cubic metre,KOR,Korea,2014,28.137993
Korea,Microgrammes per cubic metre,KOR,Korea,2015,26.058392
Korea,Microgrammes per cubic metre,KOR,Korea,2016,26.424437
Korea,Microgrammes per cubic metre,KOR,Korea,2017,25.684366
Korea,Microgrammes per cubic metre,KOR,Korea,2018,25.542562
Korea,Microgrammes per cubic metre,KOR,Korea,2019,25.50289
Korea,Microgrammes per cubic metre,KOR,Korea,2020,25.298571
Andorra,Microgrammes per cubic metre,AND,Andorra,2000,15.583412
Andorra,Microgrammes per cubic metre,AND,Andorra,2001,14.867987
Andorra,Microgrammes per cubic metre,AND,Andorra,2002,14.804062
Andorra,Microgrammes per cubic metre,AND,Andorra,2003,15.054681
Andorra,Microgrammes per cubic metre,AND,Andorra,2004,13.84016
Andorra,Microgrammes per cubic metre,AND,Andorra,2005,13.9552
Andorra,Microgrammes per cubic metre,AND,Andorra,2006,14.068634
Andorra,Microgrammes per cubic metre,AND,Andorra,2007,13.764793
Andorra,Microgrammes per cubic metre,AND,Andorra,2008,12.313807
Andorra,Microgrammes per cubic metre,AND,Andorra,2009,13.324471
Andorra,Microgrammes per cubic metre,AND,Andorra,2010,11.933895
Andorra,Microgrammes per cubic metre,AND,Andorra,2011,13.032215
Andorra,Microgrammes per cubic metre,AND,Andorra,2012,11.872416
Andorra,Microgrammes per cubic metre,AND,Andorra,2013,10.923276
Andorra,Microgrammes per cubic metre,AND,Andorra,2014,10.093523
Andorra,Microgrammes per cubic metre,AND,Andorra,2015,10.766344
Andorra,Microgrammes per cubic metre,AND,Andorra,2016,9.7921934
Andorra,Microgrammes per cubic metre,AND,Andorra,2017,9.7210569
Andorra,Microgrammes per cubic metre,AND,Andorra,2018,9.5825901
Andorra,Microgrammes per cubic metre,AND,Andorra,2019,8.7481012
Andorra,Microgrammes per cubic metre,AND,Andorra,2020,8.8074179
Estonia,Microgrammes per cubic metre,EST,Estonia,2000,11.495368
Estonia,Microgrammes per cubic metre,EST,Estonia,2001,10.990921
Estonia,Microgrammes per cubic metre,EST,Estonia,2002,12.250246
Estonia,Microgrammes per cubic metre,EST,Estonia,2003,10.395036
Estonia,Microgrammes per cubic metre,EST,Estonia,2004,9.5769024
Estonia,Microgrammes per cubic metre,EST,Estonia,2005,9.3678131
Estonia,Microgrammes per cubic metre,EST,Estonia,2006,9.2704735
Estonia,Microgrammes per cubic metre,EST,Estonia,2007,8.1972466
Estonia,Microgrammes per cubic metre,EST,Estonia,2008,8.0503712
Estonia,Microgrammes per cubic metre,EST,Estonia,2009,8.1163454
Estonia,Microgrammes per cubic metre,EST,Estonia,2010,8.9051523
Estonia,Microgrammes per cubic metre,EST,Estonia,2011,8.1143665
Estonia,Microgrammes per cubic metre,EST,Estonia,2012,7.8357954
Estonia,Microgrammes per cubic metre,EST,Estonia,2013,7.940125
Estonia,Microgrammes per cubic metre,EST,Estonia,2014,8.5901299
Estonia,Microgrammes per cubic metre,EST,Estonia,2015,7.0886359
Estonia,Microgrammes per cubic metre,EST,Estonia,2016,6.7979178
Estonia,Microgrammes per cubic metre,EST,Estonia,2017,6.0890007
Estonia,Microgrammes per cubic metre,EST,Estonia,2018,7.7222729
Estonia,Microgrammes per cubic metre,EST,Estonia,2019,6.8108501
Estonia,Microgrammes per cubic metre,EST,Estonia,2020,6.1254883
Jordan,Microgrammes per cubic metre,JOR,Jordan,2000,23.52743
Jordan,Microgrammes per cubic metre,JOR,Jordan,2001,26.269876
Jordan,Microgrammes per cubic metre,JOR,Jordan,2002,27.632854
Jordan,Microgrammes per cubic metre,JOR,Jordan,2003,32.507614
Jordan,Microgrammes per cubic metre,JOR,Jordan,2004,30.859251
Jordan,Microgrammes per cubic metre,JOR,Jordan,2005,28.61623
Jordan,Microgrammes per cubic metre,JOR,Jordan,2006,28.981354
Jordan,Microgrammes per cubic metre,JOR,Jordan,2007,29.307135
Jordan,Microgrammes per cubic metre,JOR,Jordan,2008,29.995207
Jordan,Microgrammes per cubic metre,JOR,Jordan,2009,30.22118
Jordan,Microgrammes per cubic metre,JOR,Jordan,2010,32.491703
Jordan,Microgrammes per cubic metre,JOR,Jordan,2011,28.721802
Jordan,Microgrammes per cubic metre,JOR,Jordan,2012,28.024046
Jordan,Microgrammes per cubic metre,JOR,Jordan,2013,31.512501
Jordan,Microgrammes per cubic metre,JOR,Jordan,2014,29.202757
Jordan,Microgrammes per cubic metre,JOR,Jordan,2015,30.820688
Jordan,Microgrammes per cubic metre,JOR,Jordan,2016,27.411579
Jordan,Microgrammes per cubic metre,JOR,Jordan,2017,27.502909
Jordan,Microgrammes per cubic metre,JOR,Jordan,2018,30.093094
Jordan,Microgrammes per cubic metre,JOR,Jordan,2019,30.528513
Jordan,Microgrammes per cubic metre,JOR,Jordan,2020,28.251604
Malta,Microgrammes per cubic metre,MLT,Malta,2000,17.670313
Malta,Microgrammes per cubic metre,MLT,Malta,2001,17.271074
Malta,Microgrammes per cubic metre,MLT,Malta,2002,17.481253
Malta,Microgrammes per cubic metre,MLT,Malta,2003,19.254036
Malta,Microgrammes per cubic metre,MLT,Malta,2004,17.672634
Malta,Microgrammes per cubic metre,MLT,Malta,2005,16.832777
Malta,Microgrammes per cubic metre,MLT,Malta,2006,16.581348
Malta,Microgrammes per cubic metre,MLT,Malta,2007,17.973646
Malta,Microgrammes per cubic metre,MLT,Malta,2008,17.021439
Malta,Microgrammes per cubic metre,MLT,Malta,2009,16.192873
Malta,Microgrammes per cubic metre,MLT,Malta,2010,17.144913
Malta,Microgrammes per cubic metre,MLT,Malta,2011,16.227953
Malta,Microgrammes per cubic metre,MLT,Malta,2012,14.187368
Malta,Microgrammes per cubic metre,MLT,Malta,2013,13.462812
Malta,Microgrammes per cubic metre,MLT,Malta,2014,13.572541
Malta,Microgrammes per cubic metre,MLT,Malta,2015,13.816933
Malta,Microgrammes per cubic metre,MLT,Malta,2016,12.623952
Malta,Microgrammes per cubic metre,MLT,Malta,2017,12.973654
Malta,Microgrammes per cubic metre,MLT,Malta,2018,13.181964
Malta,Microgrammes per cubic metre,MLT,Malta,2019,12.657094
Malta,Microgrammes per cubic metre,MLT,Malta,2020,11.741493
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2000,29.471668
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2001,28.496616
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2002,28.806675
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2003,27.90205
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2004,27.967184
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2005,27.898766
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2006,29.453978
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2007,29.493906
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2008,30.341488
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2009,31.616388
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2010,33.281483
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2011,43.739182
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2012,43.506817
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2013,42.464451
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2014,39.115643
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2015,37.378403
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2016,37.354568
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2017,34.90107
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2018,34.560398
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2019,33.893894
Uzbekistan,Microgrammes per cubic metre,UZB,Uzbekistan,2020,31.772467
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2000,17.847355
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2001,18.980314
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2002,19.128447
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2003,20.119425
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2004,19.915071
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2005,18.454756
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2006,19.344931
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2007,20.149061
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2008,19.848602
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2009,19.579136
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2010,21.66927
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2011,19.1378
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2012,18.618391
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2013,20.026302
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2014,20.024403
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2015,20.399672
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2016,19.163813
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2017,18.677361
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2018,19.679321
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2019,20.326523
Lebanon,Microgrammes per cubic metre,LBN,Lebanon,2020,18.913462
Portugal,Microgrammes per cubic metre,PRT,Portugal,2000,13.633844
Portugal,Microgrammes per cubic metre,PRT,Portugal,2001,13.064487
Portugal,Microgrammes per cubic metre,PRT,Portugal,2002,13.022133
Portugal,Microgrammes per cubic metre,PRT,Portugal,2003,13.865078
Portugal,Microgrammes per cubic metre,PRT,Portugal,2004,12.351064
Portugal,Microgrammes per cubic metre,PRT,Portugal,2005,12.649689
Portugal,Microgrammes per cubic metre,PRT,Portugal,2006,13.245553
Portugal,Microgrammes per cubic metre,PRT,Portugal,2007,12.6573
Portugal,Microgrammes per cubic metre,PRT,Portugal,2008,10.97319
Portugal,Microgrammes per cubic metre,PRT,Portugal,2009,11.029029
Portugal,Microgrammes per cubic metre,PRT,Portugal,2010,10.535214
Portugal,Microgrammes per cubic metre,PRT,Portugal,2011,11.235483
Portugal,Microgrammes per cubic metre,PRT,Portugal,2012,9.871109
Portugal,Microgrammes per cubic metre,PRT,Portugal,2013,9.5614567
Portugal,Microgrammes per cubic metre,PRT,Portugal,2014,9.2810097
Portugal,Microgrammes per cubic metre,PRT,Portugal,2015,9.4457855
Portugal,Microgrammes per cubic metre,PRT,Portugal,2016,8.6382027
Portugal,Microgrammes per cubic metre,PRT,Portugal,2017,9.0760994
Portugal,Microgrammes per cubic metre,PRT,Portugal,2018,8.8366098
Portugal,Microgrammes per cubic metre,PRT,Portugal,2019,7.8480043
Portugal,Microgrammes per cubic metre,PRT,Portugal,2020,8.2930336
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2000,6.8916516
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2001,6.8249722
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2002,7.4591031
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2003,7.1214118
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2004,7.3418055
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2005,7.0245361
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2006,7.5680532
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2007,7.0171604
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2008,6.8507519
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2009,7.1829453
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2010,6.2718692
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2011,7.199904
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2012,7.6002178
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2013,7.7738199
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2014,8.0103302
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2015,7.7265463
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2016,7.6735544
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2017,7.1738253
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2018,7.4059486
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2019,7.8143845
Brunei Darussalam,Microgrammes per cubic metre,BRN,Brunei Darussalam,2020,7.4502735
Romania,Microgrammes per cubic metre,ROU,Romania,2000,20.211243
Romania,Microgrammes per cubic metre,ROU,Romania,2001,20.251606
